Country_Name,Gini_index
South Africa,63
Namibia,59.1
Zambia,57.1
Sao Tome and Principe,56.3
Mozambique,54
Brazil,53.4
Botswana,53.3
Angola,51.3
Colombia,51.3
St. Lucia,51.2
Zimbabwe,50.3
Panama,49.8
"Congo, Rep.",48.9
Guatemala,48.3
Costa Rica,48.2
Honduras,48.2
Benin,47.8
Cameroon,46.6
Nicaragua,46.2
Ecuador,45.7
Paraguay,45.7
Mexico,45.4
Comoros,45.3
Lesotho,44.9
Malawi,44.7
Chile,44.4
South Sudan,44.1
Rwanda,43.7
Ghana,43.5
Chad,43.3
Thailand,43.3
Togo,43.1
Argentina,42.9
Uganda,42.8
Madagascar,42.6
Cabo Verde,42.4
Philippines,42.3
"Congo, Dem. Rep.",42.1
"Iran, Islamic Rep.",42
Dominican Republic,41.9
Turkey,41.9
Bolivia,41.6
Djibouti,41.6
Cote d'Ivoire,41.5
Peru,41.5
United States,41.4
Bulgaria,41.3
Malaysia,41.1
Kenya,40.8
Tanzania,40.5
Senegal,40.3
"Micronesia, Fed. Sts.",40.1
Uruguay,39.7
Morocco,39.5
Sri Lanka,39.3
Israel,39
Lao PDR,38.8
El Salvador,38.8
Samoa,38.7
Burundi,38.6
China,38.5
Montenegro,38.5
Indonesia,38.2
Gabon,38
Tonga,37.6
Russian Federation,37.5
Bhutan,37.4
Solomon Islands,37.1
Mauritius,36.8
Somalia,36.8
Fiji,36.7
"Yemen, Rep.",36.7
Serbia,36.2
Georgia,35.9
"Gambia, The",35.9
Italy,35.9
Romania,35.8
India,35.7
Lithuania,35.7
Sierra Leone,35.7
Vietnam,35.7
Luxembourg,35.4
Burkina Faso,35.3
Liberia,35.3
United Kingdom,35.1
Latvia,35.1
Nigeria,35.1
Nauru,34.8
Spain,34.7
Australia,34.4
Niger,34.3
Sudan,34.2
Tajikistan,34
Guinea,33.7
Portugal,33.5
Canada,33.3
Albania,33.2
Switzerland,33.1
Bosnia and Herzegovina,33
North Macedonia,33
Greece,32.9
Japan,32.9
Tunisia,32.8
Cyprus,32.7
Mongolia,32.7
Mauritania,32.6
Bangladesh,32.4
France,32.4
Seychelles,32.1
Germany,31.9
Pakistan,31.6
"Egypt, Arab Rep.",31.5
Ireland,31.4
"Korea, Rep.",31.4
Maldives,31.3
Austria,30.8
Myanmar,30.7
Estonia,30.3
Poland,30.2
Sweden,30
Armenia,29.9
Croatia,29.7
Kyrgyz Republic,29.7
Hungary,29.6
Kosovo,29
Malta,28.7
Timor-Leste,28.7
Denmark,28.2
Netherlands,28.1
Kazakhstan,27.8
Algeria,27.6
Norway,27.6
Finland,27.3
Belgium,27.2
Ukraine,26.6
Iceland,26.1
United Arab Emirates,26
Moldova,25.7
Belarus,25.3
Czech Republic,25
Slovak Republic,25
Slovenia,24.6